item_id,stratum,word
MYS_001,mystical,altar
MYS_002,mystical,angel
MYS_003,mystical,blessing
MYS_004,mystical,prayer
MYS_005,mystical,temple
MYS_006,mystical,ritual
MYS_007,mystical,shrine
MYS_008,mystical,oracle
MYS_009,mystical,heaven
MYS_010,mystical,halo
MYS_011,mystical,covenant
MYS_012,mystical,incense
MYS_013,mystical,hymn
MYS_014,mystical,psalm
MYS_015,mystical,reverence
MYS_016,mystical,grace
MYS_017,mystical,devotion
MYS_018,mystical,omen
MYS_019,mystical,vow
MYS_020,mystical,mercy
MYS_021,mystical,saint
MYS_022,mystical,pilgrim
MYS_023,mystical,sacred
MYS_024,mystical,miracle
MYS_025,mystical,chapel
FAN_001,fantasy,dragon
FAN_002,fantasy,wizard
FAN_003,fantasy,potion
FAN_004,fantasy,castle
FAN_005,fantasy,quest
FAN_006,fantasy,fairy
FAN_007,fantasy,portal
FAN_008,fantasy,monster
FAN_009,fantasy,sword
FAN_010,fantasy,spell
FAN_011,fantasy,giant
FAN_012,fantasy,mermaid
FAN_013,fantasy,unicorn
FAN_014,fantasy,goblin
FAN_015,fantasy,knight
FAN_016,fantasy,kingdom
FAN_017,fantasy,treasure
FAN_018,fantasy,myth
FAN_019,fantasy,legend
FAN_020,fantasy,cloak
FAN_021,fantasy,crown
FAN_022,fantasy,forest
FAN_023,fantasy,magic
FAN_024,fantasy,hero
FAN_025,fantasy,phantom
TEC_001,technical,engine
TEC_002,technical,circuit
TEC_003,technical,sensor
TEC_004,technical,voltage
TEC_005,technical,bracket
TEC_006,technical,piston
TEC_007,technical,filter
TEC_008,technical,router
TEC_009,technical,buffer
TEC_010,technical,camera
TEC_011,technical,module
TEC_012,technical,cable
TEC_013,technical,signal
TEC_014,technical,battery
TEC_015,technical,printer
TEC_016,technical,screw
TEC_017,technical,valve
TEC_018,technical,meter
TEC_019,technical,ledger
TEC_020,technical,server
TEC_021,technical,packet
TEC_022,technical,magnet
TEC_023,technical,keypad
TEC_024,technical,sample
TEC_025,technical,switch
MUN_001,mundane,table
MUN_002,mundane,chair
MUN_003,mundane,window
MUN_004,mundane,carpet
MUN_005,mundane,dinner
MUN_006,mundane,blanket
MUN_007,mundane,grocery
MUN_008,mundane,garden
MUN_009,mundane,wallet
MUN_010,mundane,laundry
MUN_011,mundane,kettle
MUN_012,mundane,button
MUN_013,mundane,pencil
MUN_014,mundane,basket
MUN_015,mundane,sidewalk
MUN_016,mundane,mailbox
MUN_017,mundane,pillow
MUN_018,mundane,closet
MUN_019,mundane,bucket
MUN_020,mundane,towel
MUN_021,mundane,notebook
MUN_022,mundane,bottle
MUN_023,mundane,ticket
MUN_024,mundane,garage
MUN_025,mundane,drawer
