offer,stake,rt_ms,accept
3.7623083747545945,10.0,971.3490030007961,1
0.6646514910614889,10.0,1086.4006330011762,0
0.5542652410911143,10.0,776.5048500004923,0
1.378186685588043,10.0,949.8787909997191,1
0.41951630394443323,10.0,827.8870729991468,0
3.0035801055751112,10.0,918.5308729993267,1
1.462393227759807,10.0,933.2552129999385,1
2.135299815534082,10.0,737.9984139988665,1
2.17702943322927,10.0,906.861948000369,1
1.1064979570738203,10.0,1403.281736000281,1
1.1917028951642885,10.0,991.1513510014629,1
0.7447933121293169,10.0,1235.158102999776,0
2.760570942658172,10.0,1008.0376039986731,1
1.966646044087642,10.0,947.6964099994802,1
1.9073709764841198,10.0,853.391102000387,1
0.14312013846082497,10.0,967.5326409997069,0
2.3237841653797586,10.0,815.9557489998406,1
2.5360440563038233,10.0,823.7350969993713,1
1.0484398312240972,10.0,1042.9840670003614,1
0.628555898926503,10.0,1048.8798749993293,0
